weight	description
18.6257	inference_rule_formationinterval-[SAMESENT PROV=MISC_NUMBER] 
16.8082	inference_rule_taxonomy-[SAMESENT PROV=INV:,_P._duvernoyi_,_and] 
15.2808	inference_rule_formationinterval-[SAMESENT PROV=] 
15.1903	inference_rule_taxonomy-[SAMESENT PROV=--nn->)--prep_of->synonym--prep_as->|regard|<-dep--?abella<-dep--] 
15.1903	inference_rule_taxonomy-[SAMESENT PROV=INV:)_?abella_NUMBER_PERSON_)_,_a_MISC_MISC_Middle_Devonian_(_Onondaga-Hamilton_)_species_I_regard_as_a_synonym_of] 
15.1334	inference_rule_taxonomy-[SAMESENT PROV=INV:?_gracilis_from_the_MISC_Remscheider_Schichten_NUMBER_Emsian_)_,_with] 
15.1334	inference_rule_taxonomy-[SAMESENT PROV=--prep_with->)--prep_from->|gracili|<-nsubj--?<-nn--] 
13.5639	inference_rule_taxonomy-[SAMESENT PROV=--conj_and->ten--prep_of->|compose|<-prep_of--ray<-prep_in--] 
12.473	inference_rule_formationinterval-[SAMESENT PROV=--nn->|formation|<-conj_and--] 
11.9521	inference_rule_formationinterval-[SAMESENT PROV=--nn->)--prep_from->describe--infmod->|one|<-prep_of--mammal<-amod--] 
11.6376	inference_rule_formationinterval-[SAMESENT PROV=--nn->member--nsubj->occur--rcmod->|group|<-nn--] 
11.193	inference_rule_formationinterval-[SAMESENT PROV=LOCATION_,_early] 
11.0931	inference_rule_formation-[SAMESENT PROV=,_F_:_AM_NUMBER_,_from_DATE_Quarry_,] 
11.0687	inference_rule_formationinterval-[SAMESENT PROV=ORGANIZATION_NUMBER] 
10.8027	inference_rule_formationinterval-[SAMESENT PROV=NUMBER_Lower] 
10.7918	inference_rule_formationinterval-[SAMESENT PROV=Formation_NUMBER_Lower] 
10.7875	inference_rule_formationinterval-[SAMESENT PROV=Formation_NUMBER] 
10.755	inference_rule_formationinterval-[SAMESENT PROV=PERSON_NUMBER] 
10.5796	inference_rule_formationinterval-[SAMESENT PROV=INV:,] 
10.5391	inference_rule_formationinterval-[SAMESENT PROV=Formation_(] 
10.5071	inference_rule_formationinterval-[SAMESENT PROV=INV:NUMBER] 
10.493	inference_rule_formationinterval-[SAMESENT PROV=INV:shallow_water_sediments_are_widespread_throughout_the_northern_LOCATION_,_and_are_exemplified_by_the_orange_weathering_dolomites_and_limestones_of_the] 
10.4504	inference_rule_formationinterval-[SAMESENT PROV=,_late] 
10.4333	inference_rule_formationinterval-[SAMESENT PROV=MISC_NUMBER_MISC_NUMBER_and_NUMBER_B_)_the_MISC_MISC_MISC_NUMBER] 
10.4333	inference_rule_formationinterval-[SAMESENT PROV=--nn->mississippian--dep->|)|<-xcomp--] 
10.4196	inference_rule_formationinterval-[SAMESENT PROV=ORGANIZATION_ORGANIZATION_ORGANIZATION_,_of_Albian_age_NUMBER_Lower] 
10.4196	inference_rule_formationinterval-[SAMESENT PROV=--nn->|sandstone|<-prep_of--age<-dep--)<-amod--] 
10.4075	inference_rule_formationinterval-[SAMESENT PROV=INV:)_fossil_assemblage_from_the] 
10.3207	inference_rule_formation-[SAMESENT PROV=INV:basin_:_Adamcmtina_MONEY_MONEY_?_chus_name_NUMBER_PERSON_and_PERSON_,_DATE_)_,] 
10.3112	inference_rule_taxonomy-[SAMESENT PROV=INV:PERSON_,_DATE_Family] 
10.2774	inference_rule_taxonomy-[SAMESENT PROV=+_P._gelberti_]_,_and_PERSON_being_the_sister_taxon_of] 
10.2774	inference_rule_taxonomy-[SAMESENT PROV=--prep_of->group--xcomp->|resolve|<-conj_and--taxon<-prep_of--] 
10.2705	inference_rule_formationinterval-[SAMESENT PROV=INV:MISC_includes_strata_assigned_to_the_ORGANIZATION_ORGANIZATION_,_PERSON_PERSON_NUMBER_or] 
10.2705	inference_rule_formationinterval-[SAMESENT PROV=--nn->)--conj_and->stratum--dobj->|include|<-nsubj--series<-nn--] 
10.2695	inference_rule_taxonomy-[SAMESENT PROV=are_the_sister_group_of_PERSON_PERSON_and_P._decorus_,_and_the_genus_Paramblypterus_is_the_sister_taxon_of_the_genus] 
10.2695	inference_rule_taxonomy-[SAMESENT PROV=--nsubj->|group|<-conj_and--taxon<-prep_of--] 
10.2621	inference_rule_formationinterval-[SAMESENT PROV=Formation_,_late] 
10.2578	inference_rule_taxonomy-[SAMESENT PROV=,_P._gelberti_,_P._decorus_,_and] 
10.2578	inference_rule_taxonomy-[SAMESENT PROV=--prep_of->|revision|<-prep_of--latus<-nn--] 
10.2464	inference_rule_taxonomy-[SAMESENT PROV=INV:PERSON_,_DATE_MISC] 
10.1937	inference_rule_taxonomy-[SAMESENT PROV=INV:PERSON_,_DATE_Subfamily] 
10.1899	inference_rule_formationinterval-[SAMESENT PROV=INV:MISC_includes_strata_assigned_to_the_ORGANIZATION_ORGANIZATION_,_PERSON_PERSON_NUMBER_or_Bertie_Formation_)_,_and] 
10.1899	inference_rule_formationinterval-[SAMESENT PROV=--nn->group--dobj->|include|<-nsubj--series<-nn--] 
10.1876	inference_rule_taxonomy-[SAMESENT PROV=INV:PERSON_,_DATE_Order] 
10.1583	inference_rule_formationinterval-[SAMESENT PROV=INV:ORGANIZATION_,_including_the] 
10.1583	inference_rule_formationinterval-[SAMESENT PROV=--prep_including->|member|<-prep_of--group<-nn--] 
10.1429	inference_rule_formation-[SAMESENT PROV=NUMBER_from_the_Tongonoxie_Sandstone_Member_of_the] 
10.1393	inference_rule_formationinterval-[SAMESENT PROV=--nn->|county|<-amod--] 
10.1393	inference_rule_formationinterval-[SAMESENT PROV=Sandstone_(] 
10.1204	inference_rule_formationinterval-[SAMESENT PROV=--nn->group--conj_and->|stratum|<-partmod--assign<-prep_to--group<-nn--] 
10.1204	inference_rule_formationinterval-[SAMESENT PROV=INV:ORGANIZATION_,] 
10.1199	inference_rule_formationinterval-[SAMESENT PROV=INV:PERSON_was_elevated_to_the_base_of_the_Neahga_Shale_by_the_ORGANIZATION_NUMBER_PERSON_et_al._DATE_)_because_the_latter_unit_was_found_to_be_separated_from_the] 
10.1199	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->separate--xcomp->find--advcl->|elevated|<-nsubj--base<-prep_of--group<-nn--] 
10.1053	inference_rule_formationinterval-[SAMESENT PROV=--nn->basin--appos->|life|<-conj_and--death<-prep_in--?eld<-amod--] 
10.1053	inference_rule_formationinterval-[SAMESENT PROV=INV:dune_?eld_,] 
10.0922	inference_rule_formationinterval-[SAMESENT PROV=,_Lower] 
10.0775	inference_rule_taxonomy-[SAMESENT PROV=INV:MISC_,_DATE_Family] 
10.0751	inference_rule_formationinterval-[SAMESENT PROV=--nn->formations--prep_in->)--dep->copeland--conj_and->|large|<-amod--] 
10.0751	inference_rule_formationinterval-[SAMESENT PROV=INV:and_MISC_ostracode_Moelleritia_(_PERSON_DATE_NUMBER_in_the] 
10.0526	inference_rule_formationinterval-[SAMESENT PROV=INV:trilobites_from_the] 
10.0062	inference_rule_taxonomy-[SAMESENT PROV=+_P._rohani_]_being_the_sister_group_of_NUMBER_P._duvernoyi_+_P._gelberti_]_,_and_PERSON_being_the_sister_taxon_of] 
10.0062	inference_rule_taxonomy-[SAMESENT PROV=--prep_with->|resolve|<-conj_and--taxon<-prep_of--] 
10	inference_entity_formation-
10	inference_entity_taxon-
10	inference_rule_formation_global-
10	inference_rule_formationlocation_global-
10	inference_rule_taxonomy_global-
10	inference_rule_formationtemporal_global1-
10	inference_entity_location-
10	inference_entity_temporal-
10	inference_rule_formationtemporal_global-
9.98018	inference_rule_formationinterval-[SAMESENT PROV=Formation_NUMBER_Aptian_,_Lower] 
9.97629	inference_rule_formationinterval-[SAMESENT PROV=PERSON] 
9.96601	inference_rule_formationinterval-[SAMESENT PROV=--nn->|formation|<-dep--] 
9.94843	inference_rule_formationinterval-[SAMESENT PROV=Formation_,_Lower] 
9.90365	inference_rule_taxonomy-[SAMESENT PROV=INV:LOCATION_,_DATE] 
9.83604	inference_rule_taxonomy-[SAMESENT PROV=INV:PERSON_,_DATE_Genus] 
9.82523	inference_rule_taxonomy-[SAMESENT PROV=--dep->|condylurini|<-dep--] 
9.628	inference_rule_formationinterval-[SAMESENT PROV=Formation_NUMBER_MISC] 
9.60874	inference_rule_formationinterval-[SAMESENT PROV=--dep->|montana|<-dep--] 
9.56618	inference_rule_taxonomy-[SAMESENT PROV=INV:MISC_,_DATE_MISC] 
9.55193	inference_rule_formationinterval-[SAMESENT PROV=NUMBER_late] 
9.47992	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--prep_from->turtle--prep_of->species--prep_in->preservation--dep->|style|<-dep--)<-amod--] 
9.46045	inference_rule_formationinterval-[SAMESENT PROV=LOCATION_,] 
9.45146	inference_rule_formationinterval-[SAMESENT PROV=Formation_,] 
9.4469	inference_rule_formationinterval-[SAMESENT PROV=INV:of] 
9.40292	inference_rule_formationinterval-[SAMESENT PROV=--dep->|alpena|<-dep--] 
9.40032	inference_rule_taxonomy-[SAMESENT PROV=--nsubjpass->|place|<-prep_in--] 
9.35415	inference_rule_formationinterval-[SAMESENT PROV=--nn->|lower|<-nn--] 
9.29317	inference_rule_formationinterval-[SAMESENT PROV=--nn->|formation|<-appos--)<-amod--] 
9.27682	inference_rule_formationinterval-[SAMESENT PROV=,_Late] 
9.2645	inference_rule_taxonomy-[SAMESENT PROV=of_the] 
9.26387	inference_rule_formationinterval-[SAMESENT PROV=INV:)_of] 
9.24328	inference_rule_taxonomy-[SAMESENT PROV=INV:MISC_,_DATE_Suborder] 
9.23382	inference_rule_taxonomy-[SAMESENT PROV=INV:NUMBER_NUMBER] 
9.23033	inference_rule_formationinterval-[SAMESENT PROV=INV:SYSTEM] 
9.19322	inference_rule_formationinterval-[SAMESENT PROV=INV:MISC_warreni_Zone_,_Wall_Creek_Member_of_the] 
9.17895	inference_rule_taxonomy-[SAMESENT PROV=INV:for] 
9.17809	inference_rule_taxonomy-[SAMESENT PROV=--nn->egalomphalum--dep->|c|<-dep--phragmolites<-nn--] 
9.17619	inference_rule_formationinterval-[SAMESENT PROV=--nn->formation--appos->|SAMEPATH] 
