sauropoda	morrison formation	37
montana	hell creek formation	32
montana	judith river formation	24
alberta	oldman formation	23
dastilbe	crato formation	23
arizona	moenkopi formation	21
dinosauria	morrison formation	21
pseudoloris cuestai	mazateron formation	21
trilophosaurus	chinle group	19
cormohipparion	ash hollow formation	18
pterotheca	wether law linn formation	18
diplodocidae	morrison formation	17
montana	medicine formation	17
argentina	chubut group	16
bivalvia	solsville member	16
cormohipparion occidentale	ash hollow formation	16
ichthyornis	niobrara formation	16
isoxys	maotianshan shale	16
titanosauridae	allen formation	16
tylocephalonyx skinneri	sheep creek formation	16
bivalvia	marcellus formation	15
glyptops plicatulus	morrison formation	15
hirnantia	kildare limestone formation	15
apatosaurus	morrison formation	14
echinodermata	lebanon limestone formation	14
sauropoda	poison strip member	14
apatosaurus ajax	morrison formation	13
argentina	ischigualasto formation	13
arizona	kayenta formation	13
china	yixian formation	13
ctenochelys	niobrara formation	13
mollusca	great oolite	13
montana	river formation	13
composita	vanport shale	12
glyptops	morrison formation	12
metopaster	craie de villedieu formation	12
china	doushantuo formation	11
dicynodontia	kawinga formation	11
exaeretodon	santa maria formation	11
ichthyornis	niobrara chalk	11
mammalia	cloverly formation	11
mollusca	imo formation	11
reptilia	bearpaw formation	11
ustatochoerus major	ash hollow formation	11
albanerpeton arthridion	antlers formation	10
dinosauria	huincul formation	10
gobiconodon	cloverly formation	10
hyperodapedon	santa maria formation	10
india	kota formation	10
ocruranus	zhongyicun member	10
