limestone formation	Wenlock|433.40000|427.40000	518
crato formation	Cretaceous|145.00000|66.00000	154
morrison formation	Late Jurassic|161.2000|145.5000	141
burgess shale	Middle Cambrian|513.0000|501.0000	138
chinle formation	Late Triassic|228.0000|199.6000	113
crato formation	Aptian|125.00000|113.00000	107
hamilton group	Middle Devonian|397.5000|385.3000	97
limestone formation	Eifelian|393.30000|387.70000	97
formation formation	Pilton|376.10000|353.80000	88
bridger formation	Eocene|56.00000|33.90000	85
calvert formation	Miocene|23.03000|5.33300	82
djadokhta formation	Late Cretaceous|99.6000|65.5000	81
kuwajima formation	Early Cretaceous|145.5000|99.6000	81
chinle group	Late Triassic|228.0000|199.6000	75
doushantuo formation	Neoproterozoic|1000.00000|541.00000	74
santana formation	Cretaceous|145.00000|66.00000	70
khuff formation	Wordian|268.80000|265.10000	68
kuwajima formation	Neocomian|145.00000|130.00000	68
yixian formation	Cretaceous|145.00000|66.00000	67
judith river formation	Campanian|83.60000|72.10000	65
wessex formation	Barremian|129.40000|125.00000	65
amarilla formation	Mata|86.50000|66.00000	59
hell creek formation	Late Cretaceous|99.6000|65.5000	59
barun goyot formation	Late Cretaceous|99.6000|65.5000	58
formation formation	Early Miocene|23.0300|15.9700	58
rochester shale	Silurian|443.40000|419.20000	56
shale formation	Wenlock|433.40000|427.40000	56
la meseta formation	Eocene|56.00000|33.90000	55
lance formation	Late Cretaceous|99.6000|65.5000	55
bridger formation	Middle Eocene|48.6000|37.2000	54
wessex formation	Early Cretaceous|145.5000|99.6000	54
formation formation	Baggy|376.10000|360.70000	52
sulphur mountain formation	Triassic|252.17000|201.30000	52
bahariya formation	Cenomanian|100.50000|93.90000	50
doushantuo formation	Sinian|635.00000|541.00000	50
moenkopi formation	Middle Triassic|245.0000|228.0000	48
moenkopi formation	Triassic|252.17000|201.30000	48
oldman formation	Late Cretaceous|99.6000|65.5000	48
daohugou formation	Middle Jurassic|175.6000|161.2000	47
virgin hills formation	Frasnian|382.70000|372.20000	47
headon hill formation	Late Eocene|37.2000|33.9000	46
limestone formation	Southwoodian|397.5000|391.8000	46
potrerillos formation	Late Triassic|228.0000|199.6000	44
daohugou formation	Late Jurassic|161.2000|145.5000	42
lantian formation	Neoproterozoic|1000.00000|541.00000	41
limestone formation	Givetian|387.70000|382.70000	41
marcellus formation	Middle Devonian|397.5000|385.3000	41
ash hollow formation	Clarendonian|13.60000|10.30000	40
kayenta formation	Early Jurassic|199.6000|175.6000	39
lantian formation	Sinian|635.00000|541.00000	38
